"id","name","email","plan"
1,"Alice","alice@example.com","pro"
2,"Bob","bob@example.com","basic"
3,"Carol","carol@example.com","enterprise"
4,"Alice","alice01@example.com","basic"
5,"Alice","alice02@example.com","pro"
6,"Alice","alice03@example.com","enterprise"
7,"Alice","alice04@example.com","basic"
8,"Alice","alice05@example.com","pro"
9,"Alice","alice06@example.com","pro"
10,"John","john01@example.com","pro"
11,"Jane","jane01@example.com","enterprise"
12,"Alice","alice07@example.com","basic"
13,"Alice","alice08@example.com","basic"
14,"Tom","tom01@example.com","pro"
15,"Alice Smith","alice.smith@example.com","enterprise"
